File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF648RRL	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF023YMB/, /files/ENCFF986OUP/, /files/ENCFF578ISP/	6467947	ENCODE Processing Pipeline	4435ee4a7fe139f08413b2140a3f41ff		https://www.encodeproject.org/files/ENCFF648RRL/@@download/ENCFF648RRL.bed.gz				released	s3://encode-public/2018/02/27/95175a01-b0a9-479f-80b3-a8452b557e5f/ENCFF648RRL.bed.gz			
ENCFF590SHC	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF052CCG/	13373127	ENCODE Processing Pipeline	47692ae8a8c2621155082881a0763410		https://www.encodeproject.org/files/ENCFF590SHC/@@download/ENCFF590SHC.bigBed				released	s3://encode-public/2018/02/27/5dcff8dc-909a-4f93-acae-4964f0929e8c/ENCFF590SHC.bigBed			
ENCFF373FBG	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF648RRL/, /files/ENCFF259MRC/, /files/ENCFF052CCG/	93386	ENCODE Processing Pipeline	f156f095b30ddbc2c0683a2c0ba94dab		https://www.encodeproject.org/files/ENCFF373FBG/@@download/ENCFF373FBG.bed.gz				released	s3://encode-public/2018/02/27/bfd286fc-2505-4cf5-b48e-09663f7efef8/ENCFF373FBG.bed.gz			
ENCFF921WZB	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF253FON/	241966	ENCODE Processing Pipeline	0175b779f0e04fd38d120c28b2141c6b		https://www.encodeproject.org/files/ENCFF921WZB/@@download/ENCFF921WZB.bigBed				released	s3://encode-public/2018/02/27/45d8153b-a108-4473-8af0-3a0fadba5514/ENCFF921WZB.bigBed			
ENCFF287QTL	bigWig	bigWig		signal p-value	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF023YMB/, /files/ENCFF986OUP/, /files/ENCFF578ISP/	1101273582	ENCODE Processing Pipeline	4b3e475b9626129f0a3d764716224a84		https://www.encodeproject.org/files/ENCFF287QTL/@@download/ENCFF287QTL.bigWig				released	s3://encode-public/2018/02/27/9755e90f-4446-44cb-b8ce-8e565ba083a0/ENCFF287QTL.bigWig			
ENCFF052CCG	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF023YMB/, /files/ENCFF016MFU/, /files/ENCFF578ISP/	6399337	ENCODE Processing Pipeline	ea0184726994327edd2dadc7190bb8fe		https://www.encodeproject.org/files/ENCFF052CCG/@@download/ENCFF052CCG.bed.gz				released	s3://encode-public/2018/02/27/d701b702-78af-420c-a24b-fd7586f58531/ENCFF052CCG.bed.gz			
ENCFF259MRC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF023YMB/, /files/ENCFF016MFU/, /files/ENCFF986OUP/, /files/ENCFF578ISP/	7007314	ENCODE Processing Pipeline	5951ae5c8afd1cd3a1d840f766badeea		https://www.encodeproject.org/files/ENCFF259MRC/@@download/ENCFF259MRC.bed.gz				released	s3://encode-public/2018/02/27/bfe3df56-03fd-4547-b2d4-7b8682f57dc8/ENCFF259MRC.bed.gz			
ENCFF476IRG	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF373FBG/	226477	ENCODE Processing Pipeline	8d87241b3e552dd5ba344496ce5451fe		https://www.encodeproject.org/files/ENCFF476IRG/@@download/ENCFF476IRG.bigBed				released	s3://encode-public/2018/02/27/112e7e3f-a885-487e-ad04-b76f8ac4bfb0/ENCFF476IRG.bigBed			
ENCFF902DXX	bigWig	bigWig		signal p-value	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF023YMB/, /files/ENCFF016MFU/, /files/ENCFF986OUP/, /files/ENCFF578ISP/	1213866888	ENCODE Processing Pipeline	2b538d984e676c2bd89353c47925eb1a		https://www.encodeproject.org/files/ENCFF902DXX/@@download/ENCFF902DXX.bigWig				released	s3://encode-public/2018/02/27/ec091e75-c52b-4346-95c1-f822d16b6926/ENCFF902DXX.bigWig			
ENCFF263ERN	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF648RRL/	13248062	ENCODE Processing Pipeline	0e3a3c1358ead38d52b9a45c4d17a9f1		https://www.encodeproject.org/files/ENCFF263ERN/@@download/ENCFF263ERN.bigBed				released	s3://encode-public/2018/02/27/8cc6ca1d-97e9-4261-8351-55ccc7d7d6f0/ENCFF263ERN.bigBed			
